;10;10;10;30;30;30;40;40;40;50;50;50;100;100;100;200;200;200
;10 générations;;;30 générations;;;40 générations;;;50 générations;;;100 générations;;;200 générations;;
Instrument;m;omega;tc;m;omega;tc;m;omega;tc;m;omega;tc;m;omega;tc;m;omega;tc
SPX;0.801;5.026;2015.140;0.867;6.568;2015.057;0.900;6.043;2014.944;0.897;8.758;2014.486;0.900;12.981;2016.356;0.900;12.981;2016.356
CCMP;0.417;7.356;2015.212;0.794;11.004;2016.233;0.896;11.100;2016.244;0.891;8.315;2015.628;0.899;11.287;2016.350;0.900;11.325;2016.356
SX5E;0.812;5.177;2015.881;0.898;6.135;2016.290;0.897;6.333;2016.349;0.900;6.253;2016.353;0.900;6.330;2016.355;0.900;6.325;2016.356
HSCEI;0.104;7.263;2014.475;0.138;7.445;2014.533;0.107;6.808;2014.368;0.101;6.729;2014.358;0.100;7.900;2014.576;0.100;6.734;2014.358
MXDK;0.757;5.799;2015.054;0.850;5.896;2015.083;0.830;5.002;2014.841;0.823;5.000;2014.840;0.821;5.000;2014.837;0.821;5.000;2014.837
MXPL;0.732;6.004;2014.457;0.897;6.716;2014.370;0.888;6.833;2014.368;0.897;5.547;2016.356;0.900;6.963;2014.376;0.900;6.963;2014.376
MXPT;0.883;5.888;2016.077;0.884;6.099;2016.356;0.900;5.415;2016.345;0.812;7.066;2014.363;0.900;5.020;2016.355;0.900;5.000;2016.356
S5PUBL;0.431;5.007;2015.493;0.112;5.072;2015.687;0.100;5.000;2015.641;0.101;5.000;2015.644;0.100;5.000;2015.645;0.100;5.000;2015.645
S5DVSS;0.532;5.621;2014.583;0.712;5.272;2014.509;0.708;5.200;2014.504;0.714;5.203;2014.504;0.712;5.194;2014.503;0.712;5.194;2014.503
S5TIRE;0.732;6.090;2015.855;0.795;5.999;2015.779;0.899;5.966;2015.746;0.899;6.832;2016.065;0.899;6.985;2016.126;0.900;6.972;2016.122
